brand,model,num_chosen
重庆渝安车型尺寸表,c31s,21
长安系列（含河北.南京）,1026WI(1.5排）,5
长安系列（含河北.南京）,CS35,2
东风渝安,K07(客车)二代,3
东风渝安,c31（单排货车）,5
重庆渝安车型尺寸表,东风渝安c37,10
长安系列（含河北.南京）,悦翔三厢,9
五菱,6442,4
河北长安各车型外廓尺寸,1027SG4,26
五菱,5024,9
力帆,力帆（迈威）,0
