brand,model,1,2,3,4,5,6,7,8,9,10,11
重庆渝安车型尺寸表,c31s,0,0,0,0,0,5,0,0,2,7,7
长安系列（含河北.南京）,1026WI(1.5排）,0,0,1,4,0,0,0,0,0,0,0
长安系列（含河北.南京）,CS35,0,0,0,1,1,0,0,0,0,0,0
东风渝安,K07(客车)二代,0,0,0,0,0,3,0,0,0,0,0
东风渝安,c31（单排货车）,0,0,0,1,4,0,0,0,0,0,0
重庆渝安车型尺寸表,东风渝安c37,8,2,0,0,0,0,0,0,0,0,0
长安系列（含河北.南京）,悦翔三厢,1,1,1,0,0,1,1,1,1,1,1
五菱,6442,0,0,0,0,4,0,0,0,0,0,0
河北长安各车型外廓尺寸,1027SG4,0,0,4,3,0,0,7,7,5,0,0
五菱,5024,0,6,3,0,0,0,0,0,0,0,0
力帆,力帆（迈威）,0,0,0,0,0,0,0,0,0,0,0
