brand,model,num_chosen
五菱,5029,6
福特,福克斯二厢,2
五菱,6456,28
长安系列（含河北.南京）,欧力威（6388）,9
铃木,羚羊,12
东风渝安,V27,10
东风渝安,风光560,3
