program,model,num
东风渝安,V07S,3.0
长安系列（含河北.南京）,7155（cs55),25.0
重庆渝安车型尺寸表,K05(厢车),4.0
东风渝安,V22,0.0
五菱,6478,11.0
长城,QA60A/大双,4.0
铃木,天语二厢,22.0
五菱,荣光,1.0
河北长安各车型外廓尺寸,1027SG4,5.0
长安系列（含河北.南京）,6418（金牛星）,8.0
五菱,荣光V/6446,19.0
重庆渝安车型尺寸表,问界m7,18.0
