program,model,num
长安系列（含河北.南京）,1026SIN(双排),19.0
长安系列（含河北.南京）,CS75,8.0
重庆渝安车型尺寸表,V27,14.0
长安系列（含河北.南京）,1029SC4,4.0
重庆渝安车型尺寸表,K05(厢车),4.0
五菱,6465,10.0
五菱,1029,10.0
楼兰,楼兰,7.0
重庆现代,拉菲斯塔,13.0
长安系列（含河北.南京）,逸动,11.0
