brand,model,num_chosen
东风渝安,V07S,3
长安系列（含河北.南京）,7155（cs55),25
重庆渝安车型尺寸表,K05(厢车),4
东风渝安,V22,19
五菱,6478,5
长城,QA60A/大双,2
铃木,天语二厢,14
五菱,荣光,10
河北长安各车型外廓尺寸,1027SG4,5
长安系列（含河北.南京）,6418（金牛星）,8
五菱,荣光V/6446,6
重庆渝安车型尺寸表,问界m7,9
